LAT,LON,YEAR,DOY,T2M,T2MDEW,T2MWET,TS,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WS10M_RANGE,WD10M,WS50M,WS50M_RANGE,WD50M,T2M_RANGE
-31.75,16.75,2023,2,18.57,18.11,18.34,18.31,12.9,97.02,0.12,100.94,4.63,5,203.11,5.86,6.14,203.23,0.49
-31.75,17.25,2023,2,17.64,17.15,17.4,17.17,12.15,96.85,0.09,100.89,3.28,3.82,228.39,4.61,4.99,228.71,0.77
-31.75,17.75,2023,2,18.16,15.64,16.9,17.97,11.11,87.2,0.07,100.55,2.87,3.45,262.79,4.15,4.53,263.66,4.03
-31.75,18.25,2023,2,21.06,13.35,17.21,21.81,9.75,66.42,0.04,99.52,3.23,4.4,279.37,4.26,5.07,280.92,10.6
-31.75,18.75,2023,2,26.56,9.99,18.28,28.72,8,39.5,0.01,97.34,3.38,5.38,229.34,3.97,4.91,230.47,18.36
-31.75,19.25,2023,2,28.38,8.15,18.26,30.62,7.26,32.48,0,94.46,3.9,6.23,226.94,4.86,6.17,228.94,18.46
-31.75,19.75,2023,2,28.48,7.21,17.84,30.74,7.01,30.7,0,91.66,4.2,5.98,218.34,5.42,6.53,219.81,18.77
-31.75,20.25,2023,2,27.82,6.62,17.22,30.36,6.9,30.91,0,89.35,4.44,5.16,214.21,5.89,6.25,214.72,19.01
-31.75,20.75,2023,2,27.24,6.16,16.7,30.32,6.8,31.19,0,87.87,4.59,4.31,215.79,6.19,5.71,215.54,19.19
-31.75,21.25,2023,2,27.45,5.93,16.69,31.01,6.77,30.94,0.01,87.45,4.44,4.04,214.84,5.93,5.43,214.34,19.59
-31.75,21.75,2023,2,27.65,6.35,17,31.08,6.97,30.14,0.03,87.13,3.75,4.39,214.97,4.97,5.43,219.99,18.38
-35.25,16.75,2023,3,19.9,17.4,18.65,20.28,12.33,85.46,0.92,101.05,6.51,3.54,189.67,7.22,4.05,189.27,1.49
-35.25,17.25,2023,3,19.9,17.83,18.87,20.29,12.68,87.84,0.99,101.01,6.29,4.14,181.83,7,4.82,181.42,1.77
-35.25,17.75,2023,3,19.88,18.2,19.04,20.31,12.99,89.98,1.1,100.98,5.86,5.45,177.58,6.53,6.41,177.15,1.81
-35.25,18.25,2023,3,19.89,18.45,19.17,20.3,13.2,91.34,1.23,100.95,5.29,6.67,179.01,5.92,7.86,178.59,1.69
-35.25,18.75,2023,3,19.99,18.69,19.34,20.24,13.4,92.09,1.01,100.93,4.8,6.35,184.06,5.49,7.37,183.84,1.66
-35.25,19.25,2023,3,20.14,18.96,19.55,20.27,13.62,92.87,0.78,100.9,4.63,6.38,187.69,5.45,7.47,187.74,1.95
-35.25,19.75,2023,3,20.67,19.28,19.98,21.03,13.91,91.68,0.78,100.85,4.84,5.86,185.72,5.66,6.87,185.98,2.56
-35.25,20.25,2023,3,21.04,19.65,20.35,21.53,14.25,91.72,0.73,100.82,5.15,5.67,182.55,5.87,6.69,182.79,2.53
